Feature,Importance
delta_dB_A29,0.0072248360890360954
delta_dB_A20,0.007179996365194175
delta_dB_B15,0.006114157308675451
delta_dB_A30,0.005975095675701311
beta_dB_A4,0.005691223978932102
gamma_dB_A27,0.00522401256363764
beta_dB_A26,0.0047667913177411305
beta_dB_B1,0.0047172097281214
delta_dB_B16,0.004690696025839489
delta_dB_A1,0.0046846372360610485
delta_dB_B6,0.004616992792287779
delta_dB_A28,0.004498057405575813
theta_dB_B14,0.004472563216638024
delta_dB_B21,0.004445555501488602
theta_dB_B5,0.004368351713871527
theta_dB_A22,0.004336331767334991
delta_dB_A26,0.004329022224418886
beta_dB_B4,0.004308650619687185
theta_dB_A24,0.004294358573336444
beta_dB_B7,0.004284658373275966
beta_dB_B15,0.0042738824358478575
theta_dB_B11,0.004264230206710202
theta_dB_A28,0.004258011100156351
gamma_dB_A8,0.004243761817272793
theta_dB_B6,0.00422601990045831
alpha_dB_A28,0.004220840814174917
delta_dB_A8,0.004212376164500376
gamma_dB_A16,0.0041527832613965435
delta_dB_A27,0.004141603632205899
beta_dB_A15,0.004128765379953064
alpha_dB_B30,0.004128405876414264
theta_dB_A29,0.004111222874538352
delta_dB_A31,0.004107811025051255
delta_dB_A10,0.004095895955467512
theta_dB_B26,0.004062583583254436
theta_dB_A31,0.004051008987175767
delta_dB_B1,0.004035837640776777
delta_dB_B14,0.004025867687681622
alpha_dB_A30,0.004000524935479823
beta_dB_A16,0.003999488953312172
delta_dB_A19,0.003992673132182179
theta_dB_B10,0.0039596608906576816
theta_dB_A26,0.003955415450989872
theta_dB_B9,0.00395539330921784
delta_dB_A16,0.003932987928374413
delta_dB_B24,0.003928486515912404
delta_dB_A24,0.003921924695208447
beta_dB_B21,0.003919540585791699
delta_dB_A32,0.003906657413495193
theta_dB_A20,0.0039025981273723464
gamma_dB_A19,0.003900468853924509
theta_dB_A9,0.00388244684778183
delta_dB_A12,0.00387021350115421
delta_dB_B20,0.0038569296989416275
theta_dB_B16,0.003843103768768838
delta_dB_B30,0.0038380534293218044
delta_dB_A14,0.0038081540672539305
delta_dB_B31,0.003805144769261951
delta_dB_A13,0.0038005088988449726
gamma_dB_B5,0.0037882773408096067
delta_dB_B22,0.003775373765456848
alpha_dB_B19,0.003766788992400557
beta_dB_A11,0.003762619753480277
delta_dB_B12,0.0037617747755450985
gamma_dB_A20,0.003761170560507024
gamma_dB_A11,0.0037559949582490447
theta_dB_B28,0.003748095935000947
theta_dB_A30,0.0037236248964399627
alpha_dB_A22,0.0037048405860948467
gamma_dB_A26,0.0037022349184071186
theta_dB_A11,0.0036824256561068668
delta_dB_B29,0.0036786994736662175
alpha_dB_A23,0.003677063300372026
