Feature,Importance
gamma_dB_A20,0.007466557709767719
theta_dB_A21,0.0055797232289333636
gamma_dB_A26,0.005394299476214437
gamma_dB_B2,0.005375691315152407
delta_dB_B16,0.005004860300641916
delta_dB_B15,0.004886111055344521
theta_dB_B26,0.004660972320336214
gamma_dB_A30,0.0046499153781788625
gamma_dB_A24,0.004614381581183567
delta_dB_A11,0.004545420630337637
delta_dB_A15,0.004530107662221128
delta_dB_A23,0.004508411635388172
delta_dB_A27,0.00447442176699799
gamma_dB_A2,0.004442627291875539
beta_dB_A9,0.004432861036293578
delta_dB_B28,0.0044020517530086985
delta_dB_B4,0.004381333219641902
beta_dB_B21,0.004355803383129241
delta_dB_A25,0.004338661508093566
delta_dB_B14,0.004310336187188395
delta_dB_A3,0.004280598550185207
gamma_dB_B30,0.004278183493214697
delta_dB_A26,0.004270356560643512
theta_dB_A32,0.004243294193258679
gamma_dB_B16,0.004214010277246078
beta_dB_A21,0.004183231796191015
alpha_dB_A29,0.004178757460132654
delta_dB_B27,0.004176693395376309
theta_dB_A31,0.00414652127802244
gamma_dB_A28,0.00413985660804594
delta_dB_A29,0.004118498870179355
alpha_dB_B24,0.0041127580540640234
delta_dB_A21,0.004105260802658972
gamma_dB_B8,0.004097569956014483
gamma_dB_A3,0.004097514202444794
delta_dB_A5,0.004071277973611217
delta_dB_B32,0.004050610733738532
delta_dB_B5,0.004033010486535662
delta_dB_B10,0.004032961652740509
gamma_dB_A25,0.004007959656232685
delta_dB_B19,0.0039942816749743235
gamma_dB_A9,0.00395522856140492
delta_dB_A24,0.003955174032672764
alpha_dB_B30,0.003945488840660609
delta_dB_B2,0.003925330267545077
gamma_dB_A21,0.0038974755824319656
delta_dB_A18,0.003894662128326571
beta_dB_A22,0.003892033926398393
delta_dB_A6,0.0038778900299320145
theta_dB_B27,0.00385684845604339
gamma_dB_B4,0.0038258166484939787
delta_dB_B21,0.0038252071853206466
theta_dB_A14,0.003806261417219155
delta_dB_B31,0.0038040355109080783
gamma_dB_B27,0.0038019838556987116
gamma_dB_A14,0.0037793025030339795
gamma_dB_A1,0.0037447741434118685
delta_dB_B9,0.003737054704766657
delta_dB_B26,0.0037327248290782785
gamma_dB_A10,0.0037300720030121752
beta_dB_B20,0.003729956092348399
alpha_dB_B32,0.0037217719120286215
gamma_dB_A7,0.0037199597972495733
gamma_dB_B1,0.0037118242758681034
theta_dB_A17,0.0037051763872903644
delta_dB_A8,0.0036979535561663173
delta_dB_B3,0.003694710164476147
beta_dB_B1,0.0036919127849187024
gamma_dB_B12,0.0036749273373424245
theta_dB_B14,0.003663444690324912
alpha_dB_B31,0.0036553367740269653
gamma_dB_A5,0.0036537246793329594
beta_dB_A26,0.003647865579387318
gamma_dB_B3,0.003618216209549064
delta_dB_A2,0.0036121523087022213
theta_dB_B4,0.003595870363664248
delta_dB_A19,0.0035797470201287766
theta_dB_A5,0.0035743464702674395
delta_dB_A14,0.0035700754242658167
gamma_dB_A16,0.0035496127657931786
beta_dB_B10,0.003548691835628992
alpha_dB_A30,0.0035477710907882644
gamma_dB_A22,0.0035431495605995
delta_dB_B30,0.0035420805989947583
beta_dB_B28,0.0035329139508201014
gamma_dB_B13,0.00353010710123486
delta_dB_B24,0.003515189774398802
theta_dB_B16,0.003496634156404622
theta_dB_A26,0.003493814568793209
delta_dB_A1,0.00348735832579098
delta_dB_A10,0.0034858339876444283
theta_dB_A10,0.0034646211613474946
delta_dB_A30,0.003464086045600902
theta_dB_B30,0.0034544238960053657
theta_dB_A30,0.0034537533305028967
theta_dB_A8,0.0034317099977133132
gamma_dB_A17,0.0034267320347846405
delta_dB_B17,0.003423013144197409
alpha_dB_A7,0.003418860717802708
delta_dB_B8,0.003411320817552705
gamma_dB_A6,0.0034071323198181036
delta_dB_B1,0.0034030591677381493
alpha_dB_A3,0.003402560648964797
beta_dB_A10,0.0033663507081706876
gamma_dB_B29,0.0033514768230014503
theta_dB_B28,0.0033504713297885943
delta_dB_A17,0.003349217469337691
delta_dB_B18,0.0033358584321845496
theta_dB_A11,0.0033115674836050007
beta_dB_A27,0.0033044565325719677
theta_dB_A28,0.003299157895455806
gamma_dB_B9,0.00329502812415401
beta_dB_B32,0.0032946663619429837
beta_dB_A23,0.0032901013952116105
theta_dB_B6,0.0032879407429272467
beta_dB_B6,0.00328698151108016
alpha_dB_A9,0.0032851267620305903
theta_dB_B8,0.003270762497516083
theta_dB_A24,0.0032691678932346914
gamma_dB_B11,0.0032662625443016877
delta_dB_A4,0.0032619558732618075
gamma_dB_A23,0.0032591290596408386
beta_dB_A24,0.0032577258511811424
theta_dB_A27,0.003245219881042483
beta_dB_A17,0.0032438917746451857
alpha_dB_B23,0.0032429340141176865
gamma_dB_B14,0.003236753886321989
beta_dB_A25,0.0032289078840783557
delta_dB_A12,0.0032275929847410856
gamma_dB_B28,0.003222462196971395
delta_dB_B7,0.0032157867598152545
theta_dB_A15,0.0032052689500627037
gamma_dB_A13,0.0031891794598947355
theta_dB_B17,0.0031875666244159232
beta_dB_B8,0.003178740447676506
delta_dB_B6,0.00317861190307449
beta_dB_A14,0.003175512603503253
gamma_dB_A11,0.0031738325588290504
delta_dB_A7,0.003166170926148365
gamma_dB_A8,0.003162907608371125
delta_dB_A22,0.003162731685198477
gamma_dB_A4,0.0031405224038695153
alpha_dB_B21,0.0031368189432180206
delta_dB_A16,0.0031311030423538245
beta_dB_B22,0.00313084340620216
delta_dB_A32,0.0031256644152114436
delta_dB_A28,0.003118983900657796
theta_dB_B19,0.00311311117184338
delta_dB_B20,0.003107437912563028
delta_dB_A20,0.0031022319584247337
theta_dB_A19,0.0031001392738230506
theta_dB_B20,0.003096835341365555
theta_dB_B31,0.003095276299577871
alpha_dB_B16,0.0030893308596451692
gamma_dB_A18,0.0030869721173686342
gamma_dB_A29,0.003085560966610337
delta_dB_B11,0.0030852863512430013
alpha_dB_B18,0.0030818773731930275
gamma_dB_B6,0.003073200857518479
theta_dB_B3,0.0030723944956661375
beta_dB_B19,0.0030674205179570518
theta_dB_A23,0.003066085621585918
gamma_dB_B17,0.00306280068569781
alpha_dB_A22,0.003061139847175398
gamma_dB_A15,0.0030559046957875035
gamma_dB_B23,0.0030395685563396765
delta_dB_A31,0.0030310680257267493
theta_dB_A6,0.0030306983005448777
alpha_dB_A6,0.0030258956118459517
alpha_dB_A28,0.0030205906751204843
delta_dB_A9,0.0030204380944633684
beta_dB_A32,0.0030184156283415914
alpha_dB_A26,0.003002630606657867
alpha_dB_B26,0.003001581159617305
beta_dB_B3,0.0029996590707810303
theta_dB_B21,0.0029973800309870545
theta_dB_B12,0.0029886134976426326
alpha_dB_A15,0.0029844170085750765
delta_dB_B29,0.0029792854527850364
beta_dB_B5,0.0029785905148723936
delta_dB_B13,0.0029783635616909203
gamma_dB_B15,0.0029782244300142436
alpha_dB_A2,0.002974480311541845
beta_dB_B27,0.0029498529356424
alpha_dB_A21,0.002939292057203207
beta_dB_B29,0.0029341337865563828
beta_dB_A29,0.0029200369788160174
theta_dB_B22,0.0029093873581443196
gamma_dB_A31,0.002896393098380531
delta_dB_B23,0.0028954200093656885
theta_dB_B29,0.0028795526677277443
alpha_dB_A10,0.0028759112025633416
gamma_dB_B18,0.0028700233754574145
beta_dB_A31,0.0028625213446815804
theta_dB_A3,0.002860383129748852
gamma_dB_B10,0.002847109984673773
beta_dB_B30,0.002836098856817757
alpha_dB_A31,0.002829129010840516
theta_dB_B10,0.002823788525372276
gamma_dB_A19,0.002823345399124339
delta_dB_B12,0.002819592766833143
alpha_dB_B29,0.0028188605267511764
beta_dB_B31,0.0028162702967633618
beta_dB_A1,0.0028159544440754095
beta_dB_B18,0.002809980178197352
theta_dB_B25,0.002806287541549701
beta_dB_B2,0.0028046461031868597
theta_dB_B24,0.002798424802668793
theta_dB_A7,0.002798383261359483
alpha_dB_A25,0.002797054167468305
gamma_dB_B21,0.002796072290282323
gamma_dB_B24,0.0027927919725924664
beta_dB_B9,0.0027865280227778056
theta_dB_A25,0.0027831226414636746
gamma_dB_B19,0.002770661303174554
theta_dB_A9,0.0027683590788812086
theta_dB_B7,0.0027678471193923904
theta_dB_A12,0.0027639279934353763
theta_dB_A16,0.002763644509330831
alpha_dB_B8,0.002762992346109484
beta_dB_A13,0.002750760521313061
alpha_dB_B11,0.002747924128610556
beta_dB_B14,0.0027358544271641155
beta_dB_A2,0.0027353057561015563
theta_dB_B15,0.002724041328780356
gamma_dB_B5,0.002713662458836768
beta_dB_B24,0.002711609015265977
alpha_dB_A5,0.0027105635207867107
alpha_dB_B12,0.0027068529068082427
alpha_dB_B10,0.0027033016613790704
alpha_dB_B6,0.0026968873724107618
beta_dB_A16,0.0026866386585385977
beta_dB_B4,0.0026624706145827576
alpha_dB_A27,0.002662411919735842
beta_dB_A19,0.0026457032707894444
delta_dB_B22,0.002639694755973893
beta_dB_B25,0.0026259571366185983
beta_dB_A12,0.0026156376307472583
gamma_dB_A12,0.0026082054273272983
alpha_dB_B28,0.0025905268081332106
beta_dB_B7,0.0025722376921661298
gamma_dB_B32,0.002560513731500021
alpha_dB_A18,0.0025553417526842166
alpha_dB_A19,0.0025500402896413243
beta_dB_A30,0.0025450435024095843
alpha_dB_B22,0.0025426276080356136
alpha_dB_A8,0.0025254668951400884
theta_dB_B5,0.002521185895473621
theta_dB_B18,0.0025153670899375324
alpha_dB_B2,0.002507309404876876
beta_dB_A4,0.0024963542823635966
beta_dB_B12,0.002490995956324017
alpha_dB_A24,0.002446338481989474
gamma_dB_A27,0.002444503553146822
theta_dB_B2,0.0024396181215442653
beta_dB_B15,0.0024372526518375913
beta_dB_A18,0.0024309404640950934
alpha_dB_A23,0.0024269694559866575
alpha_dB_A4,0.002425605137153213
delta_dB_A13,0.002423486516912396
alpha_dB_B9,0.002412984000784965
beta_dB_B13,0.0024104334088134046
beta_dB_B16,0.0023973855224463138
theta_dB_B9,0.002379808900225185
theta_dB_B32,0.0023748951010772023
alpha_dB_A11,0.0023729791121186233
alpha_dB_A20,0.0023629021112566654
beta_dB_A3,0.0023601489160745464
gamma_dB_B20,0.0023431368271308994
delta_dB_B25,0.0023394439669950306
theta_dB_B1,0.0023378591555109386
