Subject,Mean_Accuracy,Std_Accuracy,Num_Samples
013,0.5,0.09447247911251559,62
014,0.41515151515151516,0.07256927281713967,58
016,0.5494505494505495,0.1598136216730658,67
017,0.5879120879120879,0.0737165267307623,68
018,0.7173684210526315,0.02167501082313054,99
019,0.5847953216374269,0.06287569616709057,94
020,0.5157894736842106,0.10069013931425785,93
021,0.6436842105263157,0.037792259096876314,98
022,0.5392857142857143,0.06813851438692468,37
023,0.5938095238095238,0.0743924751760001,101
024,0.695320197044335,0.02437801582592833,141
