Group,Band,Condition,Power_Mean_dB,Power_SEM_dB
expert,delta,Concentration,10.788056862720701,2.4974277815817967
expert,delta,Mind Wandering,10.319923046610576,2.0911946192046145
expert,delta,Difference,0.4681338161101249,3.2575018388351946
expert,theta,Concentration,4.93303117986015,2.2546976508596295
expert,theta,Mind Wandering,4.516765350612979,1.8350807585588416
expert,theta,Difference,0.41626582924717126,2.9071995196081795
expert,alpha,Concentration,7.855570123624703,2.0224326297666124
expert,alpha,Mind Wandering,7.4911733404311756,1.6983482212119019
expert,alpha,Difference,0.3643967831935261,2.6410445072570523
expert,beta,Concentration,-1.8875420580951003,2.174991970191894
expert,beta,Mind Wandering,-2.1182702732324676,1.989389129496109
expert,beta,Difference,0.2307282151373673,2.9476812350036017
expert,gamma,Concentration,-7.929073322646497,2.312761411097946
expert,gamma,Mind Wandering,-8.140436385484485,2.201503617661622
expert,gamma,Difference,0.21136306283798634,3.1931553953040694
